region,pop,gdp,ghg,ghg_per_capita,ghg_per_gdp,gdp_per_capita,cont
Libye,6 418 315,92 571 605 611,"0,070","10,87",754,14 423,Afrika
Jihoafrická republika,55 386 367,684 376 000 000,"0,586","10,58",857,12 356,Afrika
Egypt,92 442 547,946 846 000 000,"0,326","3,53",344,10 243,Afrika
Afrika (ostatní),715 815 105,2 573 727 001 973,"1,485","2,07",577,3 596,Afrika
Nigérie,181 137 448,1 029 930 000 000,"0,327","1,81",318,5 686,Afrika
Etiopie,100 835 458,153 116 000 000,"0,159","1,58",1038,1 518,Afrika
Blízký východ A,21 303 400,1 404 097 753 039,"0,701","32,89",499,65 910,Asie
Saúdská Arábie,31 717 667,1 600 700 000 000,"0,717","22,60",448,50 467,Asie
Kazachstán a Turkmenistán,23 108 093,496 114 536 078,"0,496","21,48",1000,21 469,Asie
Jižní Korea,51 014 947,1 743 570 000 000,"0,689","13,51",395,34 178,Asie
Asie A,39 236 975,1 295 312 291 529,"0,438","11,15",338,33 013,Asie
Írán,78 492 215,1 309 520 000 000,"0,830","10,57",634,16 683,Asie
Japonsko,127 141 000,4 810 260 000 000,"1,303","10,25",271,37 834,Asie
Čína,1 378 511 300,18 950 054 000 000,"12,977","9,41",685,13 747,Asie
Irák,35 572 261,532 303 000 000,"0,246","6,91",461,14 964,Asie
Turecko,78 529 409,1 830 650 000 000,"0,510","6,49",279,23 312,Asie
Thajsko,68 714 511,1 048 340 000 000,"0,406","5,91",387,15 256,Asie
Indonésie,258 383 256,2 676 550 000 000,"0,929","3,59",347,10 359,Asie
Blízký východ B,50 677 242,506 979 772 763,"0,177","3,49",349,10 004,Asie
Indie,1 310 152 403,7 524 760 000 000,"3,399","2,59",452,5 743,Asie
Asie B,776 411 709,3 831 677 944 821,"1,814","2,34",473,4 935,Asie
Austrálie a Nový Zéland,28 411 695,1 210 847 000 000,"0,753","26,50",622,42 618,Austrálie a Nový Zéland
Evropa A,27 075 537,1 098 558 736 727,"0,401","14,80",365,40 574,Evropa
Česko,10 546 059,322 767 000 000,"0,128","12,11",396,30 605,Evropa
Německo,81 686 611,3 597 740 000 000,"0,910","11,14",253,44 043,Evropa
Polsko,37 986 412,961 331 000 000,"0,399","10,50",415,25 307,Evropa
Velká Británie,65 128 861,2 540 660 000 000,"0,555","8,52",218,39 010,Evropa
Evropa B,155 411 082,4 789 259 792 887,"1,200","7,72",251,30 817,Evropa
Španělsko,46 444 832,1 502 840 000 000,"0,343","7,38",228,32 358,Evropa
Itálie,60 730 582,2 082 610 000 000,"0,415","6,83",199,34 293,Evropa
Ukrajina,45 154 029,319 835 000 000,"0,298","6,60",932,7 083,Evropa
Francie,66 593 366,2 519 610 000 000,"0,432","6,49",171,37 836,Evropa
Mexiko,121 858 258,2 131 930 000 000,"0,774","6,35",363,17 495,Jižní a Střední Amerika
Brazílie,204 471 769,3 027 660 000 000,"1,266","6,19",418,14 807,Jižní a Střední Amerika
Jižní a Střední Amerika (ostatní),254 879 871,3 390 079 286 936,"1,241","4,87",366,13 301,Jižní a Střední Amerika
Rusko,144 096 870,3 609 270 000 000,"2,245","15,58",622,25 048,Rusko
Kanada,35 702 908,1 539 000 000 000,"0,769","21,55",500,43 106,Severní Amerika
Spojené státy americké,320 742 673,17 059 500 000 000,"6,195","19,31",363,53 187,Severní Amerika
